name,lat,lon
H_1695_1397,45.1695078,141.1397705
H_1642_1430,45.1642297,141.1430654
H_1631_1434,45.1631035,141.1434784
H_1613_1450,45.1613739,141.1450036
H_1187_2021,45.1187228,141.2021983
H_1193_2032,45.1193133,141.2032926
H_1176_2048,45.1176023,141.2048161
H_1176_2068,45.1176175,141.2068331
H_1264_1862,45.1264901,141.1862968
H_1201_1983,45.12012,141.1983058
H_1179_2012,45.1179306,141.2012737
H_1174_2017,45.1174726,141.2017458
H_1141_2080,45.1141486,141.2080556
H_1064_2238,45.1064311,141.2238985
H_0999_2282,45.099954,141.228227
H_1047_2387,45.104712,141.2387548
H_0983_2369,45.0983261,141.2369949
H_0991_2343,45.0991319,141.234371
H_0991_2351,45.09916,141.2351819
H_1014_2312,45.1014286,141.2312722
H_1094_2687,45.1094479,141.268727
H_1098_2701,45.1098663,141.2701888
H_1089_2701,45.1089406,141.2701461
H_1128_2736,45.1128726,141.2736647
H_1123_2744,45.1123653,141.2744747
H_1524_3268,45.1524539,141.3268048
H_1980_3109,45.1980472,141.3109215
H_2212_2878,45.2212342,141.2878744
H_2304_2689,45.2304117,141.2689928
H_2311_2669,45.2311673,141.2669597
H_2321_2696,45.2321359,141.2696453
H_2507_1861,45.2507977,141.1861938
H_2517_1848,45.2517003,141.1848425
H_2475_1845,45.2475868,141.1845035
H_2476_1852,45.2476831,141.1852532
H_2494_1848,45.2494955,141.1848312
H_2011_1417,45.201169,141.141782
H_2020_1404,45.2020959,141.140491
H_2030_1392,45.2030471,141.1392327
H_1998_1383,45.1998289,141.1383242
H_2064_1420,45.2064953,141.1420567
H_2073_1446,45.2073413,141.1446213
H_2080_1451,45.208048,141.1451738
H_2088_1443,45.2088707,141.1443995
H_2065_1375,45.2065728,141.137565
H_2297_1543,45.2297761,141.1543565
H_2292_1551,45.229217,141.1551159
H_1845_1337,45.1845217,141.1337514
H_1857_1317,45.1857184,141.131719
H_2065_1369,45.2065164,141.1369002
H_2077_1364,45.2077046,141.1364899
H_2089_1368,45.2089394,141.1368919
H_2091_1377,45.2091917,141.1377542
H_2095_1370,45.2095628,141.1370219
H_2095_1365,45.2095666,141.1365163
H_2110_1346,45.2110922,141.1346602
H_2139_1335,45.2139627,141.1335752
H_2148_1356,45.2148553,141.1356077
H_2150_1362,45.215014,141.1362997
H_2153_1377,45.2153768,141.137775
H_2162_1369,45.2162989,141.1369268
H_2176_1383,45.2176465,141.1383282
H_2183_1381,45.2183318,141.1381607
H_2414_1760,45.241472,141.1760937
H_2422_1746,45.242235,141.174656
H_2426_1759,45.2426844,141.1759649
H_2434_1764,45.2434053,141.1764709
H_2446_1774,45.2446706,141.1774097
H_2439_1772,45.2439473,141.1772333
H_2449_1787,45.2449797,141.1787923
H_2454_1779,45.2454745,141.1779728
H_2455_1786,45.2455802,141.1786554
H_2462_1785,45.2462307,141.17855
H_2468_1766,45.2468489,141.176613
H_2455_1813,45.2455728,141.1813367
H_2466_1826,45.2466719,141.1826188
H_2516_1829,45.2516839,141.1829666
H_2565_1893,45.2565726,141.1893602
H_2563_1893,45.2563989,141.1893575
H_2565_1899,45.2565726,141.1899583
H_2581_1934,45.2581336,141.1934075
H_2579_1933,45.2579048,141.1933233
H_2575_1930,45.2575895,141.1930146
H_2574_1919,45.2574384,141.1919687
H_2581_1945,45.258163,141.1945494
H_2579_1957,45.2579451,141.195735
H_2579_1966,45.2579463,141.1966851
H_2575_1968,45.257528,141.1968466
H_2479_2191,45.24793,141.2191086
H_2478_2195,45.2478847,141.2195726
H_2480_2198,45.2480376,141.2198462
H_2477_2203,45.2477271,141.2203331
H_2467_2209,45.2467619,141.2209986
H_2464_2216,45.2464662,141.2216058
H_2463_2219,45.2463148,141.2219816
H_2446_2262,45.2446982,141.2262474
H_2449_2267,45.244904,141.2267682
H_2451_2270,45.245108,141.2270471
H_2449_2271,45.2449474,141.2271061
H_2393_2280,45.2393215,141.2280094
H_2337_2369,45.2337791,141.2369709
H_2342_2390,45.2342601,141.2390011
H_2339_2382,45.2339095,141.2382436
H_2331_2380,45.2331577,141.2380102
H_2339_2388,45.2339941,141.238894
H_2344_2393,45.2344229,141.2393335
H_2343_2407,45.2343285,141.2407067
H_2340_2417,45.2340382,141.2417412
H_2337_2418,45.2337851,141.2418753
H_2339_2435,45.2339622,141.2435604
H_2337_2440,45.2337844,141.2440412
H_2341_2459,45.2341015,141.2459467
H_2336_2570,45.2336527,141.2570902
H_2308_2619,45.230855,141.2619475
H_2295_2716,45.2295769,141.2716298
H_2310_2788,45.2310321,141.2788517
H_2301_2772,45.230104,141.27726
H_2341_2689,45.2341459,141.2689975
H_2345_2687,45.2345161,141.2687186
H_2349_2692,45.2349392,141.2692443
H_2336_2735,45.2336033,141.273556
H_2339_2724,45.2339094,141.2724089
H_2335_2755,45.2335589,141.2755405
H_2328_2750,45.2328752,141.2750577
H_2324_2761,45.2324163,141.276199
H_2247_2802,45.2247828,141.2802683
H_2239_2811,45.2239435,141.2811209
H_2237_2808,45.2237319,141.2808312
H_2227_2836,45.2227795,141.2836497
H_2221_2854,45.2221875,141.2854324
H_2224_2845,45.2224066,141.2845634
H_2218_2852,45.2218248,141.2852661
H_2215_2856,45.2215376,141.2856577
H_2220_2862,45.2220439,141.286221
H_2219_2868,45.2219079,141.2868433
H_2210_2904,45.2210151,141.2904494
H_2199_2928,45.219963,141.2928647
H_2204_2938,45.2204618,141.2938303
H_2214_2893,45.221457,141.2893312
H_2210_2890,45.2210388,141.2890304
H_2193_2959,45.2193194,141.2959867
H_2194_2962,45.2194176,141.2962013
H_2040_3104,45.2040524,141.3104559
H_2042_3110,45.2042659,141.3110326
H_1953_3176,45.1953685,141.3176299
H_1950_3176,45.1950056,141.3176728
H_1947_3177,45.1947542,141.3177935
H_1946_3173,45.1946346,141.3173819
H_1940_3177,45.1940268,141.317736
H_1451_3204,45.1451173,141.3204306
H_1442_3184,45.1442677,141.3184243
H_1361_3088,45.1361111,141.3088355
H_1370_3094,45.137052,141.3094106
H_1367_3096,45.1367493,141.3096145
H_1285_3022,45.1285684,141.3022085
H_1278_3025,45.1278291,141.3025525
H_1274_3032,45.1274206,141.3032061
H_1135_2852,45.1135576,141.2852805
H_1131_2857,45.1131534,141.2857969
H_1110_2765,45.1110214,141.2765827
H_1120_2760,45.1120335,141.276079
H_1110_2758,45.1110778,141.2758374
H_1109_2760,45.1109604,141.276001
H_1109_2745,45.1109264,141.2745775
H_1103_2721,45.1103838,141.2721514
H_1093_2722,45.1093235,141.2722929
H_1089_2721,45.1089222,141.2721856
H_1048_2519,45.1048553,141.2519053
H_1040_2502,45.1040639,141.250253
H_1037_2486,45.1037247,141.2486332
H_1034_2485,45.1034294,141.2485286
H_1025_2483,45.1025111,141.2483481
H_1021_2473,45.1021947,141.247311
H_0988_2398,45.0988214,141.2398858
H_0988_2393,45.0988451,141.2393708
H_0980_2384,45.0980579,141.2384079
H_0976_2378,45.0976072,141.2378178
H_0978_2363,45.0978959,141.2363079
H_0982_2358,45.0982545,141.2358986
H_0988_2353,45.0988753,141.2353402
H_0989_2335,45.0989786,141.2335938
H_0985_2332,45.098564,141.2332933
H_0993_2312,45.0993577,141.2312092
H_0996_2286,45.0996921,141.228644
H_1000_2307,45.100083,141.2307556
H_0999_2310,45.0999335,141.2310079
H_1002_2305,45.1002115,141.2305065
H_1013_2289,45.1013171,141.2289152
H_1021_2294,45.1021501,141.2294408
H_1052_2278,45.1052855,141.2278468
H_1058_2269,45.1058005,141.2269617
H_1058_2266,45.105861,141.2266559
H_1064_2264,45.1064435,141.2264297
H_1059_2261,45.1059702,141.2261239
H_1061_2255,45.1061591,141.2255371
H_1079_2225,45.1079586,141.2225588
H_1064_2224,45.1064667,141.2224071
H_1064_2209,45.1064436,141.2209367
H_1067_2201,45.1067276,141.2201696
H_1068_2198,45.1068639,141.2198209
H_1076_2188,45.1076646,141.218891
H_1080_2187,45.1080022,141.2187599
H_1099_2183,45.1099756,141.218347
H_1113_2168,45.1113909,141.2168461
H_1105_2154,45.1105336,141.2154636
H_1107_2152,45.1107242,141.2152221
H_1112_2148,45.1112163,141.214868
H_1109_2141,45.1109702,141.2141438
H_1135_2085,45.1135127,141.2085382
H_1138_2086,45.1138382,141.208667
H_1157_2040,45.1157831,141.2040999
H_1156_2027,45.1156135,141.2027696
H_1159_2022,45.1159627,141.2022511
H_1163_2023,45.1163905,141.2023047
H_1168_2021,45.1168902,141.202176
H_1202_1987,45.1202539,141.1987064
H_1261_1871,45.1261867,141.1871998
H_1254_1910,45.1254663,141.1910171
H_1274_1829,45.1274371,141.182984
H_1275_1824,45.1275998,141.1824476
H_1360_1691,45.1360732,141.1691658
H_1364_1688,45.1364516,141.1688868
H_1370_1684,45.1370722,141.168404
H_1386_1658,45.1386527,141.165883
H_1484_1578,45.1484215,141.1578882
H_1488_1568,45.1488286,141.1568409
H_1517_1528,45.151713,141.152844
H_1624_1426,45.1624446,141.1426244
H_1630_1426,45.1630233,141.1426459
H_1637_1420,45.163794,141.1420934
H_1698_1385,45.1698969,141.1385708
H_1704_1384,45.1704874,141.1384103
H_1719_1390,45.1719407,141.1390031
H_1721_1390,45.1721789,141.1390943
H_1723_1388,45.1723075,141.1388261
H_1725_1392,45.1725647,141.1392606
H_1745_1387,45.1745589,141.1387238
H_1790_1377,45.1790034,141.1377481
H_1788_1372,45.1788408,141.1372921
H_1798_1396,45.1798377,141.139647
H_1799_1392,45.1799133,141.1392124
H_1804_1404,45.1804171,141.1404971
H_1818_1416,45.1818894,141.141604
H_1811_1399,45.1811051,141.1399778
H_1817_1402,45.1817422,141.1402608
H_1836_1371,45.1836457,141.1371968
H_1883_1394,45.1883009,141.1394494
H_1782_1394,45.1782154,141.1394976
H_1359_3112,45.1359889,141.3112589
H_1127_2865,45.1127594,141.2865226
H_1087_2725,45.1087049,141.2725681
H_1071_2182,45.1071109,141.2182966
H_1132_2088,45.1132505,141.2088686
H_1544_1510,45.1544086,141.1510617
H_1885_1351,45.1885151,141.1351124
H_1629_1421,45.1629892,141.1421148
H_2052_1384,45.2052096,141.1384087
H_2426_1741,45.2426801,141.1741546
H_2512_1861,45.2512927,141.186103
H_2426_2307,45.2426319,141.230738
H_2256_2798,45.2256531,141.2798945
H_2182_1377,45.2182693,141.1377479
H_1835_1367,45.1835456,141.1367007
H_1835_1363,45.1835834,141.1363493
H_1838_1349,45.1838904,141.134998
H_1834_1386,45.1834255,141.1386249
H_1795_1395,45.1795258,141.1395881
H_1795_1393,45.1795069,141.1393681
H_1762_1377,45.1762629,141.1377278
H_1490_1564,45.1490644,141.1564134
H_1376_1662,45.1376793,141.166274
H_1352_1690,45.1352972,141.1690933
H_1356_1687,45.1356264,141.1687017
H_1364_1676,45.1364546,141.1676095
H_1362_1681,45.1362881,141.1681353
H_1279_1806,45.1279996,141.180658
H_1266_1851,45.1266709,141.18514
H_1190_2001,45.1190237,141.2001839
H_1187_2006,45.1187323,141.2006667
H_1155_2039,45.115509,141.2039961
H_1154_2050,45.1154598,141.2050234
H_1152_2053,45.115263,141.2053721
H_1150_2053,45.1150699,141.205356
H_1131_2104,45.1131045,141.2104698
H_1125_2109,45.1125215,141.2109204
H_1121_2106,45.1121695,141.2106951
H_1072_2189,45.1072161,141.2189003
H_1054_2274,45.1054103,141.2274857
H_0986_2371,45.0986909,141.237183
H_0983_2378,45.0983485,141.2378509
H_1132_2845,45.1132552,141.28455
H_1142_2856,45.1142836,141.2856837
H_1144_2856,45.1144161,141.2856904
H_1150_2859,45.1150648,141.2859724
H_1152_2861,45.1152692,141.2861105
H_1158_2868,45.1158224,141.286849
H_1302_3047,45.1302484,141.3047225
H_1304_3063,45.1304074,141.3063238
H_1338_3064,45.1338215,141.3064824
H_1351_3093,45.1351708,141.3093172
H_1540_3282,45.1540826,141.328278
H_1567_3281,45.1567282,141.3281503
H_1742_3256,45.1742397,141.3256546
H_1753_3251,45.1753987,141.3251336
H_1778_3244,45.1778217,141.324457
H_1893_3209,45.1893588,141.3209405
H_2031_3110,45.2031365,141.3110767
H_2079_3079,45.2079224,141.3079776
H_2201_2935,45.2201345,141.2935349
H_2227_2825,45.2227253,141.2825291
H_2285_2795,45.2285744,141.2795595
H_2286_2789,45.2286084,141.2789346
H_2289_2791,45.2289031,141.2791304
H_2291_2795,45.2291147,141.2795005
H_2290_2784,45.2290731,141.2784035
H_2293_2788,45.2293262,141.2788997
H_2303_2784,45.2303186,141.2784865
H_2306_2783,45.2306511,141.2783337
H_2310_2782,45.2310828,141.2782263
H_2306_2774,45.2306823,141.2774055
H_2333_2728,45.2333984,141.2728951
H_2334_2721,45.2334664,141.2721763
H_2338_2721,45.2338328,141.2721387
H_2336_2709,45.2336399,141.2709148
H_2343_2707,45.2343497,141.2707242
H_2335_2702,45.2335381,141.2702816
H_2335_2699,45.2335683,141.2699598
H_2333_2698,45.2333266,141.2698847
H_2334_2676,45.2334409,141.2676698
H_2320_2676,45.2320281,141.2676805
H_2312_2687,45.2312126,141.2687881
